unieknr	polygon_id	description_orig	description	source.x	phab	certain	type	source.y	groupnr	typegroup_name	rasterid	opp	geselecteerd_basis	geselecteerd_reserve
22786	653152_v2014	70% 91E0_vn; 30% 91E0_vm	70% 91E0_vn; 30% 91E0_vm	habitatmap_stdized	30	1	91E0_vm	habitatmap_stdized	1	types van zeer nat milieu	182	9740	1	1
22749	653345_v2014	70% 91E0_vn; 30% 91E0_vm	70% 91E0_vn; 30% 91E0_vm	habitatmap_stdized	30	1	91E0_vm	habitatmap_stdized	1	types van zeer nat milieu	182	30419	0	1
22788	657757_v2014	100% 91E0_vm	100% 91E0_vm	habitatmap_stdized	100	1	91E0_vm	habitatmap_stdized	1	types van zeer nat milieu	182	30657	0	1
20562	504100_v2014	100% 1130; 100% 6430_hw	100% 1130; 100% 6430_hw	habitatmap_stdized	100	1	6430_hw	habitatmap_stdized	3	types van matig nat milieu	233	1581	0	1
20515	504183_v2014	100% 1130; 100% 6430_hw	100% 1130; 100% 6430_hw	habitatmap_stdized	100	1	6430_hw	habitatmap_stdized	3	types van matig nat milieu	233	7742	0	1
20478	621718_v2014	100% 1130; 30% 91E0_sf; 70% rbbmr	100% 1130; 30% 91E0_sf; 70% rbbmr	habitatmap_stdized	30	1	91E0_sf	habitatmap_stdized	3	types van matig nat milieu	233	28	0	1
20554	621978_v2014	100% 1130; 30% 91E0_sf; 70% rbbmr	100% 1130; 30% 91E0_sf; 70% rbbmr	habitatmap_stdized	30	1	91E0_sf	habitatmap_stdized	3	types van matig nat milieu	233	8232	0	1
20457	596526_v2014	60% gh; 20% rbbmr; 20% rbbsf	60% gh; 20% rbbmr; 20% rbbsf	habitatmap_stdized	20	1	rbbsf	habitatmap_stdized	3	types van matig nat milieu	233	160022	0	1
20489	671609_v2014	60% rbbmr; 30% rbbsf; 10% gh	60% rbbmr; 30% rbbsf; 10% gh	habitatmap_stdized	30	1	rbbsf	habitatmap_stdized	3	types van matig nat milieu	233	352939	1	1
48651	636164_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	habitatmap_stdized	30	1	9160	habitatmap_stdized	4	types van vochtig milieu	422	9799	0	1
48849	636165_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	habitatmap_stdized	30	1	9160	habitatmap_stdized	4	types van vochtig milieu	422	58457	0	1
48664	636712_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	habitatmap_stdized	30	1	9160	habitatmap_stdized	4	types van vochtig milieu	422	23715	0	1
48647	636790_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	habitatmap_stdized	30	1	9160	habitatmap_stdized	4	types van vochtig milieu	422	2815	0	1
48654	636839_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	habitatmap_stdized	30	1	9160	habitatmap_stdized	4	types van vochtig milieu	422	12004	0	1
48658	636980_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	habitatmap_stdized	30	1	9160	habitatmap_stdized	4	types van vochtig milieu	422	4841	0	1
48798	637025_v2014	70% 9120; 30% 9160	70% 9120; 30% 9160	habitatmap_stdized	30	1	9160	habitatmap_stdized	4	types van vochtig milieu	422	17500	0	1
48618	645318_v2014	70% 9160; 30% 9120	70% 9160; 30% 9120	habitatmap_stdized	70	1	9160	habitatmap_stdized	4	types van vochtig milieu	422	40205	1	1
48617	645382_v2014	70% 9160; 30% 9120	70% 9160; 30% 9120	habitatmap_stdized	70	1	9160	habitatmap_stdized	4	types van vochtig milieu	422	8830	0	1
48589	609073_v2014	100% 91E0_va	100% 91E0_va	habitatmap_stdized	100	1	91E0_va	habitatmap_stdized	4	types van vochtig milieu	422	2300	0	1
19700	113864_v2014	100% 1130; 100% rbbmr	100% 1130; 100% rbbmr	habitatmap_stdized	100	1	rbbmr	habitatmap_stdized	2	types van nat milieu	425	295	0	1
